PEREXNO|FCLTUIN|FCLNAME|FCLTYAD|FCLTCIT|FCLCNTY|FCLSTCD|FCLZIPC|FCLGLAT|FCLGLON|S303D|
RIG250013|110004908280|TORAY PLASTICS (AMERICA), INC.|560 OLD BAPTIST ROAD|NORTH KINGSTOWN|RI009|RI|02852|41.607073|-71.4655565|Y|
RIG250014|110000312518|TECHNICAL MATERIALS, INC.|5 WELLINGTON ROAD|LINCOLN|RI007|RI|02865|41.920376|-71.475964||
RIG250015|110028184587|D.C. PRODUCTS, INC.|118 MANTON AVENUE|PROVIDENCE|RI007|RI|02909|41.8189214|-71.4459061||
RIG250016|110028184596|TIYODA-SEREC CORPORATION|33 DEXTER ROAD|EAST PROVIDENCE|RI007|RI|02914|41.8302198|-71.3707012||
RIG250018|110016754369|IMMUNEX RI CORP., SUB OF AMGEN|40 TECHNOLOGY WAY|WEST GREENWICH|RI001|RI|02817|41.6347177|-71.691066||
RIG250019|110004903123|LEONARD VALVE COMPANY|1360 ELMWOOD AVENUE|CRANSTON|RI007|RI|029103817|0.0|0.0||
RIG250020|110000311591|AMERICAN INSULATED WIRE NORTHEAST CABLE|330 TURNER STREET|S. ATTLEBORO|MA005|MA|02703|0.0|0.0||
RIG250021|110022468293|TWIN OAKS RESTAURANT|100 SABRA STREET|CRANSTON|RI007|RI|02910|41.789111|-71.4412||
RIG250022|110000312849|SAFETY-KLEEN SYSTEMS, INC.|167 MILL STREET|CRANSTON|RI007|RI|02905|41.765076|-71.413742||
RIG350000||||||||0.0|0.0||
RIG350001|110012296318|CHARIHO REGIONAL MIDDLE SCHOOL|455A SWITCH ROAD|WOOD RIVER JUNCTION|RI009|RI|02894|41.4484334|-71.6950656||
RIG350004|110004917733|BURRILLVILLE - DPW -|MAINTENANCE FACILITY|BURRILLVILLE|RI007|RI|02830|42.0000812|-71.6317359||
RIG350006|110009814077|JEFFREY LAMBERT|(RESIDENTIAL)|PASCOAG|RI007|RI|02859|41.9556539|-71.7022899||
RIG350008|110012296327|RIDOT - PORTSMOUTH FACILITY|120 ANTHONY ROAD|PORTSMOUTH|RI005|RI|02871|41.5905625|-71.2517835||
RIG350015|110012803056|GONZALEZ RESIDENCE|287 MAGNOLIA STREET|CRANSTON|RI007|RI|02910|41.772573|-71.431449||
RIG350016|110012803065|SHELL FACILITY #100082|2095 DIAMOND HILL ROAD|CUMBERLAND|RI007|RI|02864|0.0|0.0||
RIG350019|110020149677|JOSEPHINE CARROLL RESIDENCE|249 SHORE ROAD|WESTERLY|RI009|RI|02891|41.339407|-71.779475||
RIG350020|110020546293|FORMER CITGO TERMINAL|85-130 TERMINAL ROAD|PROVIDENCE|RI007|RI|02905|41.795403|-71.393503||
RIG350021|110020546300|CONDE RESIDENCE|55 SAWYER AVENUE|WARWICK|RI003|RI|02818|41.663462|-71.417156||
RIG350022|110021029037|RIDOT-FORMER MOLINA MILL|45 BORDEN STREET|PROVIDENCE|RI007|RI|02905|41.8134062|-71.409125||
RIG350023|110004936231|HYATT REGENCY HOTEL|1 GOAT ISLAND|NEWPORT|RI005|RI|02840|41.491796|-71.327434||
RIG350025|110024812121|NAVY BUILDING 70|NAVAL STATION NEWPORT|MIDDLETOWN|RI005|RI|02841|41.51549|-71.32228||
RIG350026|110020149677|JOSEPHINE CARROLL RESIDENCE|249 SHORE ROAD|WESTERLY|RI009|RI|02891|41.339407|-71.779475||
RIG350027|110035858480|JOHNSON & WALES UNIVERSITY|250 SHIPYARD STREET|PROVIDENCE||RI|02905|0.0|0.0||
RIG350028|110035858499|STEPHEN BRADNER RESIDENCE|90 PLUM BEACH ROAD|SAUNDERSTOWN|RI009|RI|02874|41.526382|-71.421097||
RIG830000||||||||0.0|0.0||
RIG830001|110006693907|POTTERS MOBILE|1836 WARWICK AVENUE|WARWICK|RI003|RI|02889|41.72642|-71.405133||
RIG830006|110028184621|NEWPORT CREAMERY, INC.|208 WEST MAIN ROAD|MIDDLETOWN|RI005|RI|02842|41.51122|-71.302886||
RIG830009|110006802718|MOBIL SERVICE STATION #14619|1214 MAIN STREET|RICHMOND|RI009|RI|02832|0.0|0.0||
RIG830014|110017849319|EARLE'S TEXACO|35 MEETING HOUSE LANE|LITTLE COMPTON|RI005|RI|02837|41.508542|-71.1767857||
RIG830022|110012295710|NORTH MAIN STREET MOBIL|24 NORTH MAIN STREET|PASCOAG|RI007|RI|02859|41.959923|-71.701566||
RIG830025|110012803074|RIDEM-PASCOAG UTILITY DISTRICT|SILVER LAKE AVENUE|PASCOAG|RI007|RI|02859|41.9647822|-71.6995107||
RIG830026|110013401050|SHELL STATION NO. 139069|585 METACOM AVENUE|WARREN|RI001|RI|02885|41.721024|-71.2692346||
RIG830027|110012803083|CUMBERLAND FARMS, INC.|FACILITY #3850|MIDDLETOWN|RI005|RI|02840|0.0|0.0||
RIG830028|110017754250|WESTLAKE'S GARAGE|707 POINT JUDITH ROAD|NARRAGANSETT|RI009|RI|02882|41.396619|-71.481734||
RIG830029|110028184649|FOSTER XTRA MART|188 DANIELSON PIKE|FOSTER|RI007|RI|02825|41.797674|-71.786692||
RIG830030|110020038305|RIDOT - POST RD. RECON. PROJ.|ROUTE 1 (POST ROAD)|NORTH KINGSTOWN|RI009|RI||41.5501013|-71.4661691||
RIG830031|110017693913|MOBIL FACILITY #01-M5T|1050 BALD HILL ROAD|WARWICK|RI003|RI|02886|0.0|0.0||
RIG830033|110004910623|WILLIE'S TEXACO|5819 POST ROAD|EAST GREENWICH|RI003|RI|02818|41.6372736|-71.4687966||
RIG830034|110022910448|SHELL STATION|1015 BOSTON NECK ROAD|NARRAGANSETT|RI009|RI|02882|41.4816944|-71.4365964||
RIG830035|110028183392|SHELL SERVICE STATION|131 CONNELL ROAD|NEWPORT|RI005|RI|02840|41.5051889|-71.317593||
RIG830036|110024411000|7-ELEVEN STORE #32509|11 POST ROAD|WESTERLY|RI009|RI|02891|0.0|0.0||
RIG830037|110004935027|BROWN UNIVERSITY OFFICE BLDG.|164 ANGELL STREET|PROVIDENCE|RI007|RI|02912|41.8280867|-71.4010369||
RIG830039|110035858505|242 COWESETT AVENUE|242 COWESETT AVENUE|W. WARWICK|RI003|RI|02893|41.68507|-71.50911||
RIG830040|110033202665|ROGER WILLIAMS PARK MAINTENANCE GARAGE|FLORAL AVENUE|PROVIDENCE||RI|02915|41.7798634|-71.3468091||
RIG830043|110037105218|FORMER MOBIL STATION NO. 12508|1396 HARTFORD AVENUE|JOHNSTON|RI007|RI|02919|41.8235865|-71.4985764||
RIG85A001|110004935027|BROWN UNIVERSITY OFFICE BLDG.|164 ANGELL STREET|PROVIDENCE|RI007|RI|02912|41.8280867|-71.4010369||
RIG85A002|110040441233|FORMER SHELL FACILITY NO. 139069|585 METACOM AVENUE|WARREN|RI001|RI|02885|41.721024|-71.2692346||
RIG85B003||ESTATE OF JOSEPHINE CARROLL|249 SHORE ROAD|WESTERLY||RI|02891|42.339432|-71.779709||
RIG85B004|110020546293|FORMER CITGO TERMINAL|85-130 TERMINAL ROAD|PROVIDENCE|RI007|RI|02905|41.795403|-71.393503||
RIG85B006|110040088767|ALMEIDA RESIDENCE|74 PRESCOTT AVENUE|EAST PROVIDENCE|RI007|RI|02915|41.767449|-71.345746||
RIG85C001|110039184263|CRANSTON PRINT WORKS|1425 CRANSTON STREET|CRANSTON|RI007|RI|02920-6789|41.791807|-71.460223||
RIG85C002|110040088776|PAWTUCKET REDEVELOPMENT AUTHORITY|210, 182, 164 FRONT STREET|PAWTUCKET|RI007|RI|02860|41.8855402|-71.3800268||
RIG85E001|110040441242|FORMER TIDEWATER FACILITY|200 TAFT STREET|PAWTUCKET|RI007|RI|02860|41.868332|-71.383331||
RIG85G002|110004935027|BROWN UNIV - CREATIVE ARTS CTR.|152 ANGELL STREET|PROVIDENCE|RI007|RI|02912|41.82832|-71.401484||
RIG85G003|110040088785|NARRAGANSETT ELECTRIC COMPANY|165 CENTRAL AVENUE|JOHNSTON|RI007|RI|02919|41.814303|-71.4748369||
RIG85G004|110040088794|RIDOT - MAINTENANCE FACILITY - CONTRACT 4|WARREN AVENUE|EAST PROVIDENCE|RI007|RI|02914|41.8182861|-71.3836264||
RIG85G005|110040441251|FORMER AQUA TANK FARM|ZARBO AVENUE|NO. KINGSTOWN|RI009|RI|02852|41.588318|-71.410828||
RIG850000||||||||0.0|0.0||
RIL000002|110000735713|CRANSTON WATER CONTROL FAC|140 PETTACONSETT AVE|CRANSTON|RI007|RI|02920|41.7530069|-71.442518||
RIL000003|110007215557|WOONSOCKET REG WW INCINERATOR|15 CUMBERLAND HILL RD|WOONSOCKET|RI007|RI|02895|42.000549|-71.495819|Y|
RIO000391||BRISTOL COUNTY WATER AUTHORITY|450 CHILD STREET|WARREN|RI001|RI|02885|41.729463|-71.266157||
RIR04000I||||||||0.0|0.0||
RIR100000||||||||0.0|0.0||
RIR100207|110009813915|KENT COUNTY SUBSTATION TO OLD|BAPTIST ROAD TAP|WARWICK|RI003|RI||41.7001009|-71.4161671||
RIR100218|110009813942|A. PULTE HOME COMPANY|CONGDON HILL ROAD|NORTH KINGSTOWN|RI009|RI|02852|41.607073|-71.4655565||
RIR100238|110009814004|NEW LIFE WORSHIP CENTER|ROUTE 7 (DOUGLAS PIKE)|SMITHFIELD|RI007|RI|02917|41.912689|-71.515846||
RIR100239|110009700733|VALLEY ROAD SUBDIVISION|VALLEY ROAD|MIDDLETOWN|RI005|RI|02840|41.4901024|-71.3128285||
RIR100247|110000499327|PEPSI COLA COMPANY|1400 PONTIAC AVENUE|CRANSTON|RI007|RI|02920|41.744068|-71.453909||
RIR100252|110009700751|SEVENTEEN FARMS|MAJOR POTTER ROAD|WARWICK|RI009|RI||41.4568113|-71.6673352||
RIR100268|110006693872|JANICE B. KESSON|POLE #214|MIDDLETOWN|RI005|RI|02842|0.0|0.0||
RIR100272|110028183775|KELLY & PICERNE, INC.|CAROUSEL DRIVE|EAST PROVIDENCE|RI007|RI||0.0|0.0||
RIR100275|110010148875|RI DEPT OF TRANSPORTATION|ROUTE 44/I-295 TO WEST|SMITHFIELD|RI007|RI||41.92194|-71.55||
RIR100292|110028183784|BRIGGS SUBDIVISION, PHASE II|PROSPECT LANE|PORTSMOUTH|RI005|RI|02871|41.5905625|-71.2517835||
RIR100303|110009700680|LEVEL 3 COMMUNICATIONS LLC|ROUTES 101, 102, 44 & 295|SMIFHFLD, LINCOLN, CUMB|RI007|RI||0.0|0.0||
RIR100304|110028183793|DONALD CLEMENTS|EAST MAIN ROAD|PORTSMOUTH|RI005|RI|02871|41.5905625|-71.2517835||
RIR100312|110004903052|UVEX SAFETY MANUFACTURING, INC|10 THURBER BOULEVARD|SMITHFIELD|RI007|RI|02917|41.911382|-71.51785||
RIR100315|110009813568|PINE GLEN DEVELOPMENT, INC.|DIVISION STREET|EAST GREENWICH|RI003|RI|02818|41.6633146|-71.4714056||
RIR100320|110028183800|QUAKER REAL ESTATE ENTERPRISES|QUAKER LANE|WARWICK|RI003|RI|02886|41.6899574|-71.5011329||
RIR100327|110006796217|URBAN GROWTH PROPERTY TRUST|2119 POST ROAD|WARWICK|RI003|RI|02882|41.3983403|-71.4893013||
RIR100329|110009813666|LMA, LLC|622 GEORGE WASHINGTON HIGHWAY|LINCOLN|RI007|RI||0.0|0.0||
RIR100332|110009813684|WILLIAM FAULKNER|SHANNOCK ROAD|SOUTH KINGSTOWN|RI009|RI||41.4398297|-71.5287261||
RIR100333|110009813693|THE HOME DEPOT|TEN ROD ROAD & QUAKER LANE|NORTH KINGSTOWN|RI009|RI|02852|0.0|0.0||
RIR100334|110028184532|RHODE ISLAND MALL|EAST AVENUE|WARWICK|RI003|RI|02886|41.7419568|-71.4064936||
RIR100335|110009813700|WEETAMOE FARMS|METACOM AVENUE|BRISTOL|RI001|RI|02809|41.686931|-71.2536499||
RIR100339|110009700948|SOUTH COUNTY BIKE PATH|RODMAN STREET, SOUTH KINGSTOWN|SOUTH KINGSTOWN|RI009|RI||41.4398297|-71.5287261||
RIR100340|110010955029|WARWICK MALL|UNKNOWN|WARWICK|RI003|RI|02886|41.7034769|-71.4655565||
RIR100350|110009700957|STATE OF RHODE ISLAND|4 TOOTELL ROAD|SOUTH KINGSTOWN|RI009|RI|02881|41.4867604|-71.5366186||
RIR100357|110009700966|SMITHFIELD OFFICE CENTER, LLC|DOUGLAS PIKE (ROUTE 7)|SMITHFIELD|RI007|RI|02917|0.0|0.0||
RIR100364|110009813363|SMITHFIELD PARTNERS, LLC|WATERMAN AVENUE|SMITHFIELD|RI007|RI|02917|41.874001|-71.4959339||
RIR100367|110009813390|LANNY PATTERSON|P-23 DRY BRIDGE ROAD|NORTH KINGSTOWN|RI009|RI|02852|41.607073|-71.4655565||
RIR100368|110009813407|RI DEPT OF TRANSPORTATION|RT. 4 & FRENCHTOWN RD TO|E. GREENWICH/N.KINGSTWN|RI003|RI||0.0|0.0||
RIR100369|110009813416|STONE RIDGE, INC.|DYE HILL ROAD|HOPKINTON|RI009|RI|02832|41.530156|-71.7358914||
RIR100373|110009813434|COMMERCE PARK|ROGER WILLIAMS WAY &|NORTH KINGSTOWN|RI009|RI|02852|0.0|0.0||
RIR100389|110012295729|MAIN STREET (FORMER JOSEPH H.|LADD FACILITY)|EXETER|RI009|RI|02822|41.577724|-71.537514||
RIR100390|110007019190|RI RESOURCE RECOVERY CORP.|UNKNOWN||RI007|RI||41.8239891|-71.4128343||
RIR100393|110013738072|NEW LONDON AVE (UP 10-28)|SOCKANOSSET CROSS RD (UP 7-28)|CRANSTON|RI007|RI||41.7798226|-71.4372796||
RIR100398|110012660655|NARRAGANSETT BAY COMMISSION|UNKNOWN||RI007|RI||41.8239891|-71.4128343||
RIR100401|110012803092|RIDOT/PAWTUCKET|UNKNOWN|PAWTUCKET|RI007|RI||41.878711|-71.3825558||
RIR100404|110004911926|NARRAGANSETT BAY COMMISSION|102 CAMPBELL AVENUE|EAST PROVIDENCE|RI007|RI|02916|41.8507203|-71.3648035||
RIR100405|110015971509|COMM. COLLEGE OF RI - NEWPORT|J.T. CONNELL HWY & GIRARD AVE.|NEWPORT|RI005|RI|02840|41.5073398|-71.3174395||
RIR100418|110013738081|PICERNE - MEADOWBROOK, LLC|WARWICK AVENUE (ROUTE 117A)|WARWICK|RI003|RI|02886|41.7034769|-71.4655565||
RIR100423|110013402692|RI RESOURCE RECOVERY CORP.|CENTRAL LANDFILL|JOHNSTON|RI007|RI|02919|41.8268401|-71.5130445||
RIR100427|110013401069|STARWOOD TIVERTON LLC|UNKNOWN||RI005|RI||41.4901024|-71.3128285||
RIR100430|110020036557|RIVERSIDE MILLS NEIGHBORHOOD|UNKNOWN||RI007|RI||41.8239891|-71.4128343||
RIR100432|110013401069|STARWOOD TIVERTON LLC|MAIN ROAD|TIVERTON|RI005|RI|02878|41.5798289|-71.182708||
RIR100437|110013738090|RIDOT - PROVIDENCE|DYER STREET, SERVICE ROAD 8 &|PROVIDENCE|RI007|RI||0.0|0.0||
RIR100438|110013738107|RIDOT - JOHNSTON|I-295 AVENUE & OLD POCASSET RD|JOHNSTON|RI007|RI||0.0|0.0||
RIR100448|110014326577|CARNEGIE HARBOR VILLAGE|FORMER KAISER ALUMINUM PLANT|PORTSMOUTH|RI005|RI|02872|41.60938|-71.3044||
RIR100450|110013738134|EAST PASSAGE REAL ESTATE ASSOC|150 TERMINAL ROAD|PORTSMOUTH|RI005|RI|02871|41.5905625|-71.2517835||
RIR100451|110004935946|RI ECONOMIC DEVELOPMENT CORP.|WHITECAP DRIVE - KIEFER PARK|NORTH KINGSTOWN|RI009|RI|02852|41.5895457|-71.4342232||
RIR100462|110027946365|TOWN POND|ANTHONY ROAD|PORTSMOUTH|RI005|RI|02871|41.5905625|-71.2517835||
RIR100476|110017694397|SAVE-BAY-EXPLORE BAY EDU. CTR.|FIELD'S POINT|PROVIDENCE|RI007|RI|02908|41.8380136|-71.4358733||
RIR100480|110016692453|EASTSIDE COMMONS|ONE WAYLAND AVENUE|PROVIDENCE|RI007|RI|02906|41.8338509|-71.3890299||
RIR100485|110016692462|OCEAN STATE HARLEY DAVIDSON|NOOSENECK HILL ROAD|EXETER|RI009|RI|02822|41.579819|-71.65387||
RIR100497|110015971545|INTERSTATE 195 - CONTRACT 7|INDIA STREET & MANCHESTER ST.|PROVIDENCE|RI007|RI|02903|0.0|0.0||
RIR100502|110016692471|LILAC HILL EXTENSION|MIDDLE ROAD|PORTSMOUTH|RI005|RI|02871|41.5905625|-71.2517835||
RIR100503|110009439615|PROVIDENCE COLLEGE|UNKNOWN||RI007|RI||41.8239891|-71.4128343||
RIR100504|110024566012|CARNEGIE HEIGHTS|WILLOW LANE|PORTSMOUTH|RI005|RI|02871|41.5905625|-71.2517835||
RIR100505|110020978888|BLOCK ISLAND AIRPORT|1 CENTER RD|NEW SHOREHAM|RI009|RI|02807|41.168321|-71.560322||
RIR100507|110017694404|CRYSTAL LAKE PRACTICE FACILITY|BRONCO HIGHWAY (ROUTE 102)|BURRILLVILLE|RI007|RI|02830|41.9757435|-71.627674||
RIR100508|110002370470|METALS RECYCLING|89 CELIA STREET|JOHNSTON|RI007|RI|029195334|0.0|0.0||
RIR100509|110017693913|MOBIL FACILITY|1050 BALD HILL ROAD|WARWICK|RI003|RI|02886|41.7093528|-71.4905757||
RIR100510|110017887777|REINTEGRATION CENTER, BLDG #47|13 FLEMING ROAD|CRANSTON|RI007|RI|02920|0.0|0.0||
RIR100512|110017887795|WARD HIGH SCHOOL|23 WARD STREET|WESTERLY|RI009|RI|02891|41.375928|-71.819253||
RIR100513|110017693922|CHILD DEVELOPMENT CENTER|PIER ACCESS RD CODDINGTON COVE|MIDDLETOWN|RI005|RI||41.5226559|-71.3178585||
RIR100514|110017693931|RIDOT-MOORESFIELD RD TO GOVCTR|TOWER HILL ROAD - ROUTE 1|NORTH KINGSTOWN|RI009|RI|02879|41.4255848|-71.536786||
RIR100515|110017887802|HALL SPARS & RIGGING|BROADCOMMON ROAD|BRISTOL|RI001|RI|02809|0.0|0.0||
RIR100518|110017887839|METACOM AVENUE CONDOMINIUMS|663-673 METACOM AVENUE|BRISTOL|RI001|RI|02809|41.702261|-71.266948||
RIR100520|110028184131|WALGREENS STORE #6592|1564 WEST SHORE ROAD|WARWICK|RI003|RI|02889|0.0|0.0||
RIR100521|110017884501|NARRAGANSETT ELECTRIC COMPANY|347 TRANSMISSION LINE|BURRILLVILLE|RI007|RI|02830|42.0000812|-71.6317359||
RIR100522|110017887875|NARRAGANSETT ELECTRIC COMPANY|Q143/R144 TRANSMISSION LINE|PROVIDENCE|RI007|RI||41.8239891|-71.4128343||
RIR100523|110017887884|EAST BAY INDUSTRIAL PARK|AP 94, LOTS 51, 52 & 53|BRISTOL|RI001|RI|02809|0.0|0.0||
RIR100524|110017884510|CARNEGIE HARBOR VILLAGE|MASTER UNIT #3|PORTSMOUTH|RI005|RI|02871|0.0|0.0||
RIR100525|110020038314|KINGSTON HILL ACADEMY|STONY FORT ROAD|SOUTH KINGSTOWN|RI009|RI|02892|41.4989514|-71.5112543||
RIR100526|110020038323|FRUIT HILL CONDOMINIUMS|127 FRUIT HILL AVENUE|PROVIDENCE|RI007|RI|02911|41.8373775|-71.4684245||
RIR100527|110020149686|BRISTOL FERRY LANDING SUBDIV.|BRISTOL FERRY ROAD|PORTSMOUTH|RI005|RI|02871|41.5905625|-71.2517835||
RIR100528|110020143414|DEPARTMENT OF THE NAVY|RESEARCH & DEV. LABS|NEWPORT|RI005|RI|02841|0.0|0.0||
RIR100529|110022569941|LINCOLN MALL|620 GEORGE WASHINGTON HIGHWAY|LINCOLN|RI007|RI|02865|41.9378503|-71.4779409||
RIR100530|110020149695|AP 303, BLOCK 1, LOTS 1 & 9|293 BOURNE AVENUE|EAST PROVIDENCE|RI007|RI|02916|0.0|0.0||
RIR100532|110022428611|NEWPORT HEIGHTS|125 GIRARD AVENUE|NEWPORT|RI005|RI|02840|41.514861|-71.3137877||
RIR100533|110020149702|EAST BAY DESIGN COMMONS|ASSESSOR'S PLAT NO. 37/LOT 69|PORTSMOUTH|RI005|RI||41.6023245|-71.2503257||
RIR100534|110020143423|DUNKIN DONUTS BAKERY|JORDAN STREET|EAST PROVIDENCE|RI007|RI|02914|41.8037095|-71.3449798||
RIR100535|110009700966|SMITHFIELD OFFICE CENTER|DOUGLAS PIKE (ROUTE 7)|SMITHFIELD|RI007|RI||41.8691839|-71.461747||
RIR100536|110020149711|CHIROPRACTIC CTR. OF W. GREENW|ASSESSORS' PLAT 6, LOT 41-2|WEST GREENWICH|RI001|RI|02817|41.6347177|-71.691066||
RIR100537|110020143432|COMMERCE PK/N. DAVISVILLE WWPS|NORTHRUP ROAD|NORTH KINGSTOWN|RI009|RI|02852|41.607073|-71.4655565||
RIR100538|110020149720|S. KINGSTOWN A.P. 19-1, LOT 10|8729 TOWER HILL ROAD|WAKEFIELD|RI009|RI|02879|41.4416175|-71.4877887||
RIR100539|110020149739|CITIZENS OPERATIONS CENTER|ONE CITIZENS DRIVE|EAST PROVIDENCE|RI007|RI|02914|41.7909593|-71.3563292||
RIR100542|110020143441|HOPKINTON GOLF PARK|MAIN STREET AND FRONTIER ROAD|HOPKINTON|RI009|RI||41.4612105|-71.7775687||
RIR100543|110021029046|WORKGROUP CONDOMINIUMS, INC.|440 DRY BRIDGE ROAD|NORTH KINGSTOWN|RI009|RI|02852|41.607073|-71.4655565||
RIR100544|110020546319|DAVISON AVENUE LANDFILL|DAVISON AVENUE|WOONSOCKET|RI007|RI|02895|42.0007878|-71.4987796||
RIR100545|110021028323|MELLVILLE HOUSING NEIGHBORHOOD|STRINGHAM ROAD|PORTSMOUTH|RI005|RI|02871|41.5905625|-71.2517835||
RIR100546|110028175007|GREENE LAND HOUSING NEIGHBORHD|GREENE LANE|MIDDLETOWN|RI005|RI|02842|41.5509897|-71.2990918||
RIR100548|110021028341|NARRAGANSETT ELEC CO 328 TRANS|SHERMAN ROAD SUB TO WEST FARNM|BURRILLVILLE|RI007|RI|02830|42.0000812|-71.6317359||
RIR100549|110021028350|HUNGRY HILL INDOOR SPORTS|ARENA|WEST GREENWICH|RI001|RI|02817|41.6347177|-71.691066||
RIR100551|110022290288|FLAGG ROAD PARKING LOT|INTERSEC OF FLAGG & PLAINS RD|KINGSTON|RI009|RI|02881|0.0|0.0||
RIR100552|110021028369|BAY SPRING AVE MIXED USE DEV.|60 BAY SPRING AVENUE|BARRINGTON|RI001|RI|02806|41.747002|-71.342939||
RIR100553|110022290304|NEW STUDENT HOUSING|FLAGG & BUTTERFIELD ROADS|KINGSTON|RI009|RI|02881|0.0|0.0||
RIR100554|110004904505|CITIZENS MORTGAGE FACILITY|10 TRIPPS LANE|EAST PROVIDENCE|RI007|RI|02915|41.7943179|-71.352783||
RIR100555|110021028378|ROYAL MILLS COMPLEX|125-186 PROVIDENCE ROAD|WEST WARWICK|RI003|RI|02893|41.7152195|-71.5168628||
RIR100556|110021028387|TORREY MEADOWS|182 TORREY ROAD|SOUTH KINGSTOWN|RI009|RI|02879|41.4255848|-71.536786||
RIR100557|110022290322|PLAIN ROAD PARKING LOT EXTEN.|PLAINS ROAD|KINGSTON|RI009|RI|02881|41.483972|-71.547404||
RIR100558|110022569950|ANCHORAGE HOUSING NEIGHBORHOOD|CODDINGTON HIGHWAY|MIDDLETOWN|RI005|RI|02842|41.5194181|-71.3110454||
RIR100559|110004928124|BRYANT UNIVERSITY PARKING LOT|1150 DOUGLAS PIKE|SMITHFIELD|RI007|RI|02917|41.9209919|-71.5378404||
RIR100560|110022468319|MAIN ROAD BRIDGE RECONSTRUCTIN|MAIN ROAD|TIVERTON|RI005|RI|02878|41.611728|-71.1951874||
RIR100561|110022468328|GOLDEN VIEW DRIVE|PLAT 45,LOTS 145 & 264|JOHNSTON|RI007|RI|02919|0.0|0.0||
RIR100563|110022468337|ROGER WILLIAMS UNIVERSITY|PLAT 164, LOT 0002|BRISTOL|RI001|RI|028092921|0.0|0.0||
RIR100564|110022468346|TUCKER FIELD|2600 MENDON ROAD|CUMBERLAND|RI007|RI|02864|41.9721816|-71.4061876||
RIR100565|110022570029|OAK GROVE EXTENSION|UNKNOWN||RI007|RI||41.8239891|-71.4128343||
RIR100566|110006693649|TIVERTON HIGH SCHOOL|100 NORTH BRAYTON ROAD|TIVERTON|RI005|RI|02878|41.6284359|-71.1647674||
RIR100567|110022468355|PORTSMOUTH HIGH SCHOOL|EDUCATION ROAD|PORTSMOUTH|RI005|RI|02871|41.5905625|-71.2517835||
RIR100569|110004910473|QUONSET AIRPORT|210 AIRPORT STREET|NORTH KINGSTOWN|RI009|RI|02852|41.607073|-71.4655565||
RIR100572|110011779913|LINCOLN PARK|1600 LOUISQUISSETT PIKE|LINCOLN|RI007|RI|02865|41.8896867|-71.4470048||
RIR100573|110028184952|BICENTENNIAL WAY CONDOMINIUMS|BICENTENNIAL WAY|N. PROVIDENCE|RI007|RI|02904|41.8646593|-71.4776414||
RIR100574|110000499327|PEPSI BOTTLING GROUP|1400 PONTIAC AVENUE|CRANSTON|RI007|RI|02920|41.744068|-71.453909||
RIR100575|110024568635|DUNKIN DONUTS & DRIVE-UP ATM|1241 TEN ROD ROAD|NORTH KINGSTOWN|RI009|RI|02852|0.0|0.0||
RIR100580|110024568671|WEAVER COVE|ONE MARITIME DRIVE|PORTSMOUTH|RI005|RI|02871|41.5905625|-71.2517835||
RIR100581|110024568699|DUNKIN' DONUTS|2700 POST ROAD|WARWICK|RI003|RI|02886|41.7106911|-71.4493898||
RIR100582|110024568733|PINE GLEN|SMALL POX TRAIL|RICHMOND|RI009|RI|02892|41.5003038|-71.626724||
RIR100586|110024563890|WAVERLY PLACE|UP 94, AP 333,|WARWICK|RI003|RI||41.7001009|-71.4161671||
RIR100587|110000312233|TORAY PLASTICS (AMERICA), INC.|50 BELVER AVENUE|NORTH KINGSTOWN|RI009|RI|02852|41.607073|-71.4655565||
RIR100588|110028184970|312 LANGDON STREET|312 LANGDON STREET|N. PROVIDENCE|RI007|RI|02904|41.861718|-71.426762||
RIR100589|110028184989|FIDELITY SMITHFIELD CAMPUS|SALEM STREET|SMITHFIELD|RI007|RI|02917|41.9316562|-71.5322264||
RIR100590|110028185005|ESSEX AFFORDABLE HOUSING ASSOCIATES, LLC|35 ALLEN AVENUE|BARRINGTON|RI001|RI|02806|41.750527|-71.350757||
RIR100593|110028185023|WALGREENS PHARMACY STORE #09374|WARREN AVENUE|E. PROVIDENCE||RI|02914|0.0|0.0||
RIR100598|110028185050|PONAGANSETT AVENUE REMEDIATION PROJECT|67 MELISSA STREET|PROVIDENCE|RI007|RI|02909|41.8214163|-71.4597896||
RIR100605|110037277568|BLACKSTONE VALLEY LATERAL LINE 266A-100|NEAR ROCKRIDGE DRIVE|WOONSOCKET|RI007|RI|02895|42.0136768|-71.4748593||
RIR100606|110009439615|PROVIDENCE COLLEGE OFFICE OF ENVIR. HEALTH/SAFETY|549 RIVER AVE|PROVIDENCE|RI007|RI|02908|41.8430805|-71.4404765||
RIR100614|110037277577|HIGH ROCKS CONDOMINIUMS|1 TUPPERWARE DRIVE|NORTH SMITHFIELD||RI|02896|41.9691255|-71.560526||
RIR100616|110037944981|GOETZ CUSTOM BOATS|CORNER BALLOU BLVD AND BROAD COMMON RD.|BRISTOL|RI001|RI|02809|41.699117|-71.2712825||
RIR100618|110037277586|300 JEFFERSON BLVD. - OFFICE PARK|300 JEFFERSON BLVD.|WARWICK|RI003|RI|02888|41.7400779|-71.438386||
RIR100619|110037277595|AMERICAN LOCOMOTIVE WORKS|555 VALLEY STREET|PROVIDENCE|RI007|RI|02908|41.8299735|-71.4313749||
